Date,Type,ID,Name,Body,URL,Role,Title,Background,Comment type,Nature of comments,Contributed artifacts,Why,Relevent SDLC or ML phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T01:38:31Z,Commit,8a917da9fad79e74772c8f3bef4ff5f825b88d5c,WindQAQ,Migrate python implementation of gelu,https://github.com/tensorflow/tensorflow/commit/8a917da9fad79e74772c8f3bef4ff5f825b88d5c,,,,ML review,Clarification,Code,Code changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T01:38:42Z,Commit,9d483364d19cd7740c6e93378236f1f9fefb994e,WindQAQ,Port to keras,https://github.com/tensorflow/tensorflow/commit/9d483364d19cd7740c6e93378236f1f9fefb994e,,,,ML review,Clarification,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T01:41:10Z,DESCR,445836524,WindQAQ,As per https://github.com/tensorflow/community/pull/252.    Old PR for C++ kernels: https://github.com/tensorflow/tensorflow/pull/33945    cc @seanpmorgan @alextp,https://github.com/tensorflow/tensorflow/pull/41178,,,,ML review,Code,other ,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T01:48:15Z,PC,655231498,seanpmorgan,Thanks @WindQAQ!     Just wanted to add a note that per discussion there is an upcoming RFC for adding custom op kernels alongside python composite ops. Once that is made public a future PR can add those since they've been requested in the migration RFC.    @alextp Is there a need for an advanced activation layer? What is the criteria for those?  https://github.com/tensorflow/tensorflow/blob/r2.2/tensorflow/python/keras/layers/advanced_activations.py,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-655231498,,,,Conventional review,Comment,Review,Question,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T01:55:33Z,Commit,75ad9db9f39709b5ac5dc80a93777df8c4362b55,WindQAQ,run pylint,https://github.com/tensorflow/tensorflow/commit/75ad9db9f39709b5ac5dc80a93777df8c4362b55,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T03:23:32Z,Commit,a3b21999360628de7fc1e553eea4a96c44fd33be,WindQAQ,Update golden api,https://github.com/tensorflow/tensorflow/commit/a3b21999360628de7fc1e553eea4a96c44fd33be,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T03:52:42Z,Commit,8adc98973ec85f27d9f362abeb302027f0a86164,WindQAQ,Update golden api,https://github.com/tensorflow/tensorflow/commit/8adc98973ec85f27d9f362abeb302027f0a86164,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08T15:20:28Z,RC,444874482,alextp,DISMISSED,https://github.com/tensorflow/tensorflow/pull/41178#pullrequestreview-444874482,,,,Dismissed,Dismissed,Dismissed,Dismissed,Dismissed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13T20:12:49Z,RC,453904111,karmel,COMMENTED Can we add doc tests with examples showing how to use this? https://www.tensorflow.org/community/contribute/docs_ref    Also  it would be helpful to add a brief description of GELUs in addition to the existing paper link.,https://github.com/tensorflow/tensorflow/pull/41178#discussion_r453904111,,,,Conventional review,Comment,Link,Asked question,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13T20:13:06Z,RC,453904243,karmel,COMMENTED Can we add doc tests with examples showing how to use this? https://www.tensorflow.org/community/contribute/docs_ref    Also  it would be helpful to add a brief description of GELUs in addition to the existing paper link.,https://github.com/tensorflow/tensorflow/pull/41178#discussion_r453904243,,,,Conventional review,Comment,Code,Asked question,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13T20:14:23Z,RC,447566616,karmel,CHANGES_REQUESTED for @tensorflow/api-owners,https://github.com/tensorflow/tensorflow/pull/41178#pullrequestreview-447566616,,,,Management,Pinging,other ,Process managment,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13T20:16:46Z,RC,453906256,karmel,COMMENTED In general  we prefer to only export to v2  as TFv1 is no longer released. Can you update this + the export below to have an empty list for v1? Eg:    ```  @keras_export('keras.activations.gelu'  v1=[])  ```,https://github.com/tensorflow/tensorflow/pull/41178#discussion_r453906256,,,,Conventional review,Clarification,Code,Asked question,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13T20:33:00Z,RC,453915068,WindQAQ,"COMMENTED Hi @karmel  does this also apply to `tf.nn.gelu`  like  ```python  @tf_export(""nn.gelu""  v1=[])  ```",https://github.com/tensorflow/tensorflow/pull/41178#discussion_r453915068,,,,Conventional review,Comment,Code,Question,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13T20:36:48Z,PC,657780822,WindQAQ,Hi @karmel  do we also need to put `GELU` into [advanced_activations](https://github.com/tensorflow/tensorflow/blob/r2.2/tensorflow/python/keras/layers/advanced_activations.py) in order for `Layer` subclass? Thank you!,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-657780822,,,,Management,Clarification,Code,Assisting the changes,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14T02:39:05Z,Commit,2bcdcf38caeba1c836ed02d0da5e451c9e824275,WindQAQ,Add example and more doc,https://github.com/tensorflow/tensorflow/commit/2bcdcf38caeba1c836ed02d0da5e451c9e824275,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14T02:40:22Z,Commit,14ae0a4e8713fdd92552d9e8ff4127092c4b7b81,WindQAQ,Fix wrong module,https://github.com/tensorflow/tensorflow/commit/14ae0a4e8713fdd92552d9e8ff4127092c4b7b81,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14T02:42:44Z,Commit,7d2b5cd83b8acd45a8c93309ac5d91164bce5c5d,WindQAQ,Export only v2 api,https://github.com/tensorflow/tensorflow/commit/7d2b5cd83b8acd45a8c93309ac5d91164bce5c5d,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14T03:29:20Z,Commit,963717729afd197d9df9d6a3d88b3bd08f5e6ca2,WindQAQ,Run pylint,https://github.com/tensorflow/tensorflow/commit/963717729afd197d9df9d6a3d88b3bd08f5e6ca2,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T16:50:43Z,PC,658877893,hendrycks,When the C++ kernels are added it might be useful to have approximate=False by default.  https://github.com/pytorch/pytorch/issues/39853#issuecomment-658806898  It doesn't seem like the approximate version adds any speed over an optimized exact version.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-658877893,,,,Conventional review,Feedback,Code,Explaining changes,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T17:56:10Z,Commit,8ad3b4d1c24ebe1d8805cced6db7663a422869e4,WindQAQ,Merge branch 'master' of https://github.com/WindQAQ/tensorflow into migrate-python-gelu,https://github.com/tensorflow/tensorflow/commit/8ad3b4d1c24ebe1d8805cced6db7663a422869e4,,,,ML review,Code,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T20:12:27Z,RC,449294836,karmel,DISMISSED for @tensorflow/api-owners     @WindQAQ - it is fine to skip making a layer in advanced_activations.py for now.    If  however  as the comment from @hendrycks suggests  we want approximate=False to be the default in the future  we should make that the default now  as we will not be able to change from True to False in the future.,https://github.com/tensorflow/tensorflow/pull/41178#pullrequestreview-449294836,,,,Conventional review,Comment,other ,Explaining plan,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T20:22:43Z,PC,658989172,WindQAQ,> for @tensorflow/api-owners  >   > @WindQAQ - it is fine to skip making a layer in advanced_activations.py for now.  >   > If  however  as the comment from @hendrycks suggests  we want approximate=False to be the default in the future  we should make that the default now  as we will not be able to change from True to False in the future.    Got it. Let alone the speed  two versions of gelu (approximate or not) produce different values. In my opinion  because the existing BERT-like models use the approximation version  if we change it to non-approximation by default  it will somehow loss some precision in the pretrained models.    https://colab.research.google.com/drive/1UK47XgQgAWzvG4PwCk1jNI8VAIm0AQEL?usp=sharing,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-658989172,,,,Conventional review,Comment,other ,Code review,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T20:26:57Z,PC,658991281,hendrycks,> it will somehow loss some precision in the pretrained models.    I think [BERT](https://github.com/huggingface/transformers/blob/82601f4c1a5c3edb680593bdd9b54abd5846cfa7/src/transformers/activations.py#L16)  RoBERTa  and many (but not all) recent models have used the exact version. I also believe the exact version is more numerically stable. It should be noted that PyTorch doesn't even offer the approximate version and only has the exact version. As an author of the GELU paper  I think it would be good if we all started using the exact version since the approximations do not seem to provide speed anymore.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-658991281,,,,Management,Code review,other ,Assisting the changes,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T20:41:19Z,Commit,c504fee3471e2f4e2bf257b4894db90b4395a5b5,WindQAQ,Change approximate default to False,https://github.com/tensorflow/tensorflow/commit/c504fee3471e2f4e2bf257b4894db90b4395a5b5,,,,ML review,Code review,Code,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T20:44:08Z,Commit,4e69c8bafe5f10745c827879cd712d22dfb23beb,WindQAQ,Merge branch 'master' of https://github.com/WindQAQ/tensorflow into migrate-python-gelu,https://github.com/tensorflow/tensorflow/commit/4e69c8bafe5f10745c827879cd712d22dfb23beb,,,,ML review,Code review,Code,Approved changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T21:08:43Z,Commit,5a85ea8b4316984b9c6581d81faa002a34f5b8af,WindQAQ,Update tests,https://github.com/tensorflow/tensorflow/commit/5a85ea8b4316984b9c6581d81faa002a34f5b8af,,,,ML review,Code review,Code,Approved changes,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15T22:22:39Z,PC,659045293,WindQAQ,Hi @karmel   I change the default value :-) Please review again. Thank you!,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-659045293,,,,Conventional review,Request a review,Review,Code review,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20T04:51:56Z,PC,660800402,saberkun,> > it will somehow loss some precision in the pretrained models.  >   > I think [BERT](https://github.com/huggingface/transformers/blob/82601f4c1a5c3edb680593bdd9b54abd5846cfa7/src/transformers/activations.py#L16)  RoBERTa  and many recent models have used the exact version. I also believe the exact version is more numerically stable. It should be noted that PyTorch doesn't even offer the approximate version and only has the exact version. As an author of the GELU paper  I think it would be good if we all started using the exact version since the approximations do not seem to provide speed anymore.    We have been used the approximate versions for many applications and many follow-up papers are using the approximate version  which at least performs well on TPU.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-660800402,,,,Conventional review,Comment,other ,Assisting the changes,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20T04:58:36Z,PC,660802201,hendrycks,> We have been used the approximate versions for many applications and many follow-up papers are using the approximate version  which at least performs well on TPU.    The current commit keeps the approximate form as an option.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-660802201,,,,Conventional review,Comment,other ,Assisting the changes,SWEBOK-Software engineering management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20T16:06:40Z,PC,661134839,WindQAQ,Hi @alextp @karmel  any suggestion on default value of the argument `approximate`? Thank you.,https://github.com/tensorflow/tensorflow/pull/41178#issuecomment-661134839,,,,Conventional review,Pinging,other ,Question,SWEBOK-Software engineering process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
